Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
L,297.3,307.8,1385,44.4,169
L,300.4,310.4,1486,46.3,48
L,299.8,309.7,1483,39.6,87
L,299.1,309.9,1586,36.6,215
L,298.1,308.7,1683,29.1,161
L,297.4,308.3,1472,45.5,2
L,300.1,310.5,1627,29.2,95
M,300.6,309.4,1452,39.4,78
M,300.2,309.5,1642,28.8,92
M,300.1,309.6,1501,38.0,157
M,302.1,310.6,1421,52.0,95
L,303.8,312.9,1514,34.3,180
M,302.3,310.9,1762,24.5,73
L,298.5,308.2,1301,66.3,42
L,303.6,312.3,1451,43.4,119
L,298.9,310.2,1445,40.0,129
L,301.0,310.8,1527,45.3,8
L,302.5,311.6,1419,43.7,39
L,298.2,309.1,1568,36.3,166
H,302.9,312.3,1754,26.9,209
L,299.8,309.8,1542,39.4,155
L,299.9,309.0,1553,40.0,88
M,299.2,308.9,1573,37.4,212
L,296.8,308.3,1506,45.9,182
L,300.6,309.8,1502,42.4,133
L,299.9,310.0,1402,44.7,204
L,298.1,307.7,1289,48.3,42
M,299.8,309.4,1401,48.1,143
L,300.3,311.8,1451,41.0,55
M,299.5,310.1,1359,61.1,67
L,301.4,310.5,1647,33.3,85
H,298.4,309.3,1694,30.9,111
M,298.0,309.9,1565,33.9,40
L,296.3,307.3,1444,49.0,13
L,300.8,312.4,1767,25.6,105
L,300.8,310.8,1486,45.7,146
M,297.8,309.8,1676,29.0,178
M,302.1,310.6,1326,59.1,88
L,300.6,310.2,1378,47.3,71
L,295.7,306.2,1464,46.2,92
L,303.7,312.4,1702,31.2,144
M,302.4,310.4,1586,34.3,149
L,301.9,311.0,1541,38.9,193
L,297.3,308.1,1615,35.4,217
L,303.1,312.9,1511,40.1,107
M,300.7,310.6,1609,27.6,108
L,301.1,311.1,1508,41.5,184
L,297.5,308.1,1631,30.6,146
M,301.6,311.0,1431,42.3,129
L,297.0,307.8,1609,35.6,193
L,298.4,308.6,1569,34.4,160
L,302.7,312.1,1543,37.5,33
L,297.4,308.6,1276,53.6,103
L,296.2,307.3,1881,24.3,40
H,300.2,311.5,1426,44.3,73
M,303.7,312.4,1642,32.3,206
L,303.4,312.7,1363,45.5,26
L,298.0,308.2,1611,30.6,195
L,297.7,308.5,1501,41.4,201
M,301.7,311.1,1578,40.5,174
L,298.8,310.3,1553,36.8,97
L,298.3,309.4,1468,46.2,10
M,297.5,309.5,1448,43.7,46
H,298.4,308.3,1458,42.9,15
L,299.3,309.2,1775,24.2,125
L,301.2,310.7,1644,31.6,166
M,297.4,308.0,1440,42.4,190
L,298.9,308.8,1529,32.7,53
M,301.0,310.7,1497,37.6,116
L,298.9,310.0,1482,41.1,82
L,298.9,308.2,2384,15.0,19
M,302.4,311.9,1439,36.6,212
L,299.3,308.7,1393,54.2,80
M,295.7,306.2,1423,42.5,121
L,302.6,312.1,1668,28.7,180
M,297.4,308.3,1444,44.0,18
L,299.0,308.6,1587,38.6,124
L,300.7,310.8,1689,28.9,100
L,300.5,311.6,1528,42.4,163
L,298.1,307.8,1606,33.0,130
M,298.0,308.7,1430,51.9,47
L,298.7,309.9,1446,43.3,46
M,301.7,309.8,1284,68.2,111
L,301.0,309.7,1491,42.9,165
L,298.9,308.7,1558,41.2,110
H,300.5,309.3,1471,45.2,223
L,300.2,311.7,1553,41.3,44
M,298.4,309.1,1525,39.3,86
L,300.7,310.5,1448,38.2,218
M,299.9,310.1,1362,56.3,179
L,302.7,310.4,1489,42.7,33
L,297.8,307.6,1607,30.3,62
L,298.4,308.0,1540,37.8,7
M,300.5,311.7,1269,64.0,87
L,298.6,309.8,1561,32.6,201
L,298.7,310.2,1717,27.3,26
H,297.9,308.5,1383,44.6,184
H,301.2,309.8,1709,27.0,151
L,297.4,308.3,1412,42.0,111
L,299.0,310.3,1552,39.9,114
H,296.4,307.5,1596,35.1,75
M,301.3,310.8,1455,41.2,56
L,297.9,307.7,1593,34.9,83
L,298.5,309.5,1548,44.5,132
L,299.0,309.9,1630,34.0,92
L,298.2,308.8,1498,36.0,39
L,302.9,312.2,1677,30.5,46
L,298.4,310.0,1554,37.3,103
L,296.5,307.5,1443,41.8,87
M,302.4,310.5,1500,36.7,164
L,301.6,309.9,1397,43.7,102
M,302.5,312.0,1447,45.7,210
M,300.7,311.0,1706,25.0,153
L,298.2,307.7,1459,44.5,89
H,302.1,311.2,1598,37.9,148
H,300.8,311.7,1468,38.7,39
L,296.6,307.6,1809,25.1,86
L,300.7,309.6,1505,34.9,7
H,300.6,309.4,1555,37.9,24
M,302.0,310.9,1352,55.5,59
L,301.4,310.6,1557,38.2,157
L,302.9,311.1,1556,45.3,135
L,299.5,308.6,1672,30.5,177
L,303.7,312.9,1461,50.1,31
M,298.9,308.9,1750,29.9,50
L,299.9,309.2,1761,25.6,115
L,300.6,311.7,1553,39.8,0
L,300.6,310.0,1505,35.9,95
L,301.8,310.6,1295,62.3,91
L,302.5,311.4,1559,37.6,209
H,303.4,311.9,1534,33.2,210
M,298.5,309.7,1552,34.0,205
H,298.3,308.0,1553,41.0,52
L,304.2,313.4,1482,41.4,32
L,300.7,312.0,1401,51.1,50
L,301.4,310.3,2203,16.6,169
H,301.8,311.1,1463,50.1,149
M,300.7,311.5,1441,40.6,33
H,300.4,310.7,1656,36.3,127
L,298.8,309.6,1903,22.3,145
L,302.6,311.5,1442,59.8,169
L,298.0,309.2,1458,39.8,87
L,300.4,309.9,1567,36.5,72
L,302.1,310.5,1389,49.6,169
L,302.6,312.1,1288,68.5,0
M,299.8,311.1,1562,35.7,170
L,298.6,308.4,1559,36.6,188
M,296.8,307.9,1843,25.2,116
H,298.9,310.2,1771,26.8,216
L,300.4,310.8,1396,49.3,142
L,299.1,310.2,1598,33.4,20
M,297.5,308.5,1496,42.2,22
L,302.2,310.6,1346,47.5,109
M,297.7,308.9,1530,39.1,108
L,298.0,309.6,1633,34.8,41
L,301.4,310.4,1471,37.5,193
L,297.4,307.9,1390,47.7,156
M,300.3,311.7,1236,57.5,12
L,297.1,308.4,1693,29.5,100
L,299.1,310.5,1736,26.9,74
L,303.2,312.6,1601,35.3,148
L,298.4,309.1,1423,48.0,135
L,297.8,308.4,1374,47.1,150
M,299.4,309.1,1500,43.3,10
L,298.4,308.4,1515,40.1,179
L,300.5,311.5,1490,38.4,67
L,304.2,313.3,1464,45.9,48
L,301.2,310.9,1413,50.1,141
H,298.8,309.2,1425,53.9,135
M,299.0,309.0,1419,45.2,27
M,302.3,311.5,1674,30.0,12
H,297.6,309.6,1278,50.4,2
M,303.0,312.3,1483,38.8,114
H,301.8,311.2,1451,39.4,70
